# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000412061	non_stop_decay	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461221	nonsense_mediated_decay	0	0	0	7	3	0	0	1	0	3	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
BRCA1	ENSG00000012048	ENST00000467274	retained_intron	0	0	0	2	0	0	0	0	0	2	0	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000472490	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000492859	nonsense_mediated_decay	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	5	2	0	0	0	0	1	2	0	1	4	0
BRCA2	ENSG00000139618	ENST00000470094	nonsense_mediated_decay	0	0	0	3	0	3	0	0	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000530893	protein_coding	0	0	1	1	0	1	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000533776	retained_intron	0	1	0	2	0	2	0	0	0	1	1	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	5	2	0	0	0	0	1	2	0	1	4	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000527531	nonsense_mediated_decay	0	0	0	1	0	1	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000343281	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000380130	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000380133	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000380139	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000459716	processed_transcript	0	0	0	3	0	3	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000495479	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000530622	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0
